clase(init+radio+pop),dataset,hyper_volume
cmdscalePca+0.6+10,iris,3.62187862708574
cmdscalePca+0.6+10,diabetes,3.56007774446397
cmdscaleMean+0.6+10,glass,3.7538075361545
cmdscaleMean+0.6+10,iris,3.44023050212893
cmdscaleMean+0.6+10,diabetes,3.69797375335241
cmdscalePca+0.6+10,glass,3.53991584482638
cmdscalePca+0.6+10,iris,2.93841390885774
cmdscalePca+0.6+10,diabetes,3.53645501549674
cmdscaleMean+0.7+10,glass,3.75595081854883
cmdscaleMean+0.7+10,iris,3.71807945953169
cmdscaleMean+0.7+10,diabetes,3.68895300373479
cmdscalePca+0.7+10,glass,3.55603394588327
cmdscalePca+0.7+10,iris,3.37764620775211
cmdscalePca+0.7+10,diabetes,3.51315465552076
cmdscaleMean+0.7+10,glass,3.30995502504599
cmdscaleMean+0.7+10,iris,3.47517470760655
cmdscaleMean+0.7+10,diabetes,3.67689016649082
cmdscalePca+0.7+10,glass,3.60555742083996
cmdscalePca+0.7+10,iris,3.36013253986463
cmdscalePca+0.7+10,diabetes,3.51493598439803
cmdscaleMean+0.7+10,glass,3.73952926614075
cmdscaleMean+0.7+10,iris,3.41128003641622
cmdscaleMean+0.7+10,diabetes,3.40973276388272
cmdscalePca+0.7+10,glass,3.53429462687923
cmdscalePca+0.7+10,iris,3.52210757779265
cmdscalePca+0.7+10,diabetes,3.53362819071541
cmdscaleMean+0.7+10,glass,3.73254287694722
cmdscaleMean+0.7+10,iris,3.39603404191153
cmdscaleMean+0.7+10,diabetes,3.42014538074578
cmdscalePca+0.7+10,glass,3.49841163414906
cmdscalePca+0.7+10,iris,3.33903439866708
cmdscalePca+0.7+10,diabetes,3.52985511694791
cmdscaleMean+0.7+10,glass,3.27038014891713
cmdscaleMean+0.7+10,iris,3.47817070994069
cmdscaleMean+0.7+10,diabetes,3.29560559761057
cmdscalePca+0.7+10,glass,3.56364334190881
cmdscalePca+0.7+10,iris,3.33943488330176
cmdscalePca+0.7+10,diabetes,2.66060141559284
cmdscaleMean+0.7+10,glass,3.75287606570296
cmdscaleMean+0.7+10,iris,3.74545870130517
cmdscaleMean+0.7+10,diabetes,3.66883144757487
cmdscalePca+0.7+10,glass,3.58461493563573
cmdscalePca+0.7+10,iris,3.17662620975875
cmdscalePca+0.7+10,diabetes,3.50356595260819
cmdscaleMean+0.7+10,glass,3.3532878143132
cmdscaleMean+0.7+10,iris,3.73046368287438
cmdscaleMean+0.7+10,diabetes,3.29545363848069
cmdscalePca+0.7+10,glass,2.97697698901958
cmdscalePca+0.7+10,iris,3.52863154132032
cmdscalePca+0.7+10,diabetes,2.93341682353063
cmdscaleMean+0.7+10,glass,3.73067228876789
cmdscaleMean+0.7+10,iris,3.74710045947705
cmdscaleMean+0.7+10,diabetes,3.43985063430968
cmdscalePca+0.7+10,glass,3.60499082589366
cmdscalePca+0.7+10,iris,3.62207695367094
cmdscalePca+0.7+10,diabetes,3.19793763897321
cmdscaleMean+0.7+10,glass,3.75783885448519
cmdscaleMean+0.7+10,iris,3.7473278975296
cmdscaleMean+0.7+10,diabetes,3.68591971412331
cmdscalePca+0.7+10,glass,3.55838330089106
cmdscalePca+0.7+10,iris,2.9160000180256
cmdscalePca+0.7+10,diabetes,3.50360946531248
cmdscaleMean+0.7+10,glass,3.58753684470732
cmdscaleMean+0.7+10,iris,3.27457588680227
cmdscaleMean+0.7+10,diabetes,3.43302722892944
cmdscalePca+0.7+10,glass,3.59502527360143
cmdscalePca+0.7+10,iris,3.48425261513862
cmdscalePca+0.7+10,diabetes,3.55820622923998
cmdscaleMean+0.7+10,glass,3.42483260546125
cmdscaleMean+0.7+10,iris,3.45421452742606
cmdscaleMean+0.7+10,diabetes,3.69506517293041
cmdscalePca+0.7+10,glass,3.61445402740468
cmdscalePca+0.7+10,iris,3.56794852251872
cmdscalePca+0.7+10,diabetes,3.51237754919121
cmdscaleMean+0.8+10,glass,3.75059876013437
cmdscaleMean+0.8+10,iris,3.74176690672109
cmdscaleMean+0.8+10,diabetes,3.64539152925168
cmdscalePca+0.8+10,glass,3.57246427829529
cmdscalePca+0.8+10,iris,2.86882839032566
cmdscalePca+0.8+10,diabetes,3.54399338629357
cmdscaleMean+0.8+10,glass,3.68894662514538
